,Week,Name1,Score1,Name2,Score2,Type
0,1,Lucy in the Sky w/ Draft Picks,133.66,Show me your TDs,98.56,Regular
1,1,Vonnies Chubbies,104.54,Christian Sunday Service,103.44,Regular
2,1,Purple Reign,108.64,Nothing to CTE Here,69.38,Regular
3,1,Camacho's Commanders,77.96,The Annexation  of Puerto Rico,97.82,Regular
4,1,Murican Futball Crusaders,68.56,Moose,88.94,Regular
5,1,Hurts in the Brown Bachs,97.3,Blondes Give Me A Chubb,74.16,Regular
6,2,Vonnies Chubbies,126.7,Lucy in the Sky w/ Draft Picks,118.0,Regular
7,2,Show me your TDs,77.0,Purple Reign,93.54,Regular
8,2,Christian Sunday Service,128.44,Camacho's Commanders,88.53,Regular
9,2,Nothing to CTE Here,109.28,Murican Futball Crusaders,131.94,Regular
10,2,The Annexation  of Puerto Rico,123.7,Hurts in the Brown Bachs,115.12,Regular
11,2,Moose,115.16,Blondes Give Me A Chubb,77.86,Regular
12,3,Lucy in the Sky w/ Draft Picks,152.22,Purple Reign,84.86,Regular
13,3,Camacho's Commanders,122.48,Vonnies Chubbies,104.28,Regular
14,3,Murican Futball Crusaders,112.28,Show me your TDs,98.0,Regular
15,3,Hurts in the Brown Bachs,111.68,Christian Sunday Service,78.06,Regular
16,3,Blondes Give Me A Chubb,99.68,Nothing to CTE Here,141.84,Regular
17,3,Moose,109.92,The Annexation  of Puerto Rico,102.36,Regular
18,4,Camacho's Commanders,74.98,Lucy in the Sky w/ Draft Picks,90.02,Regular
19,4,Purple Reign,85.2,Murican Futball Crusaders,98.2,Regular
20,4,Vonnies Chubbies,88.52,Hurts in the Brown Bachs,114.46,Regular
21,4,Show me your TDs,147.18,Blondes Give Me A Chubb,99.66,Regular
22,4,Christian Sunday Service,112.9,Moose,149.4,Regular
23,4,Nothing to CTE Here,75.5,The Annexation  of Puerto Rico,114.34,Regular
24,5,Lucy in the Sky w/ Draft Picks,126.54,Murican Futball Crusaders,79.32,Regular
25,5,Hurts in the Brown Bachs,160.92,Camacho's Commanders,82.69,Regular
