,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
9,13,Hurts in the Brown Bachs,2,7,4,0,63.64,1337.14,1081.75,11,12,12,35,1
7,11,Lucy in the Sky w/ Draft Picks,4,6,5,0,54.55,1240.95,1120.81,9,11,10,30,2
1,2,Murican Futball Crusaders,1,9,2,0,81.82,1169.14,1051.0,12,7,9,28,3
3,4,Christian Sunday Service,7,5,6,0,45.45,1210.06,1190.24,6,10,11,27,4
11,15,Moose,3,7,4,0,63.64,1203.4,1083.26,10,9,7,26,5
2,3,The Annexation  of Puerto Rico,5,6,5,0,54.55,1171.67,1105.45,8,8,8,24,6
0,1,Vonnies Chubbies,6,6,5,0,54.55,1132.53,1162.49,7,6,7,20,7
8,12,Nothing to CTE Here,10,4,7,0,36.36,1132.5,1243.2,3,5,5,13,8
6,10,Show me your TDs,8,5,6,0,45.45,1105.96,1179.5,5,4,4,13,9
5,8,Camacho's Commanders,11,4,7,0,36.36,1084.14,1186.74,2,3,4,9,10
10,14,Purple Reign,9,5,6,0,45.45,1031.14,1126.56,4,2,2,8,11
4,5,Blondes Give Me A Chubb,12,2,9,0,18.18,1007.31,1294.94,1,1,1,3,12
