,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
0,1,Vonnies Chubbies,4,3,3,0,50.0,737.63,662.18,9,12,11,32,1
11,15,Kris P. Roni,5,3,3,0,50.0,726.26,714.18,8,11,12,31,2
10,14,Purple Reign,1,4,2,0,66.67,656.52,593.84,12,9,10,31,3
8,12,Nothing to CTE Here,2,4,2,0,66.67,648.66,637.81,11,8,8,27,4
4,5,Blondes Give Me A Chubb,6,3,3,0,50.0,678.57,710.07,7,10,9,26,5
5,8,I am Magic Claw,3,4,2,0,66.67,624.22,604.0,10,6,7,23,6
7,11,The Peeping Tomlins,7,3,3,0,50.0,635.4,625.56,6,7,4,17,7
9,13,Hurts in the Brown Bachs,8,3,3,0,50.0,619.74,625.4,5,5,5,15,8
3,4,California Sunday School,9,3,3,0,50.0,602.77,536.79,4,3,7,14,9
6,10,Show me your TDs,12,1,5,0,16.67,615.28,709.72,1,4,4,9,10
1,2,Murican Futball Crusaders,10,3,3,0,50.0,584.3,590.05,3,2,2,7,11
2,3,The Annexation  of Puerto Rico,11,2,4,0,33.33,568.75,688.5,2,1,1,4,12
