,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
9,13,Hurts in the Brown Bachs,1,6,2,0,75.0,976.7,764.65,12,12,12,36,1
11,15,Moose,2,6,2,0,75.0,926.6,784.76,11,11,11,33,2
7,11,Lucy in the Sky w/ Draft Picks,4,5,3,0,62.5,914.4,806.3,9,10,9,28,3
1,2,Murican Futball Crusaders,3,6,2,0,75.0,834.76,784.68,10,8,8,26,4
3,4,Christian Sunday Service,8,3,5,0,37.5,884.52,879.95,5,9,11,25,5
2,3,The Annexation  of Puerto Rico,5,4,4,0,50.0,824.44,778.98,8,7,7,22,6
0,1,Vonnies Chubbies,6,4,4,0,50.0,796.22,835.28,7,4,6,17,7
6,10,Show me your TDs,9,3,5,0,37.5,799.66,849.5,4,6,3,13,8
10,14,Purple Reign,7,4,4,0,50.0,779.98,807.06,6,2,5,13,9
8,12,Nothing to CTE Here,11,2,6,0,25.0,797.36,951.82,2,5,3,10,10
5,8,Camacho's Commanders,10,3,5,0,37.5,792.48,902.22,3,3,4,10,11
4,5,Blondes Give Me A Chubb,12,2,6,0,25.0,751.74,933.66,1,1,1,3,12
