,id,Name,ESPN Rank,Wins,Losses,Ties,Win Percentage,Points For,Points Against,ESPN Rank LaLiga Bucks,Points For LaLiga Bucks,Avg Weekly Pts Rank Liga Bucks,Total LaLiga Bucks,Current Playoff Seed
11,15,Kris P. Roni,1,3,1,0,75.0,496.9,443.46,12,11,12,35,1
0,1,Vonnies Chubbies,5,2,2,0,50.0,497.77,442.98,8,12,11,31,2
5,8,I am Magic Claw,2,3,1,0,75.0,454.78,403.66,11,10,10,31,3
8,12,Nothing to CTE Here,3,3,1,0,75.0,426.52,409.17,10,8,8,26,4
4,5,Blondes Give Me A Chubb,9,1,3,0,25.0,445.92,509.12,4,9,8,21,5
9,13,Hurts in the Brown Bachs,4,3,1,0,75.0,423.46,393.91,9,6,6,21,6
6,10,Show me your TDs,10,1,3,0,25.0,424.58,479.12,3,7,9,19,7
10,14,Purple Reign,6,2,2,0,50.0,403.54,373.62,7,4,5,16,8
3,4,California Sunday School,7,2,2,0,50.0,371.98,342.91,6,3,4,13,9
7,11,The Peeping Tomlins,11,1,3,0,25.0,407.56,437.48,2,5,3,10,10
1,2,Murican Futball Crusaders,8,2,2,0,50.0,371.02,364.76,5,2,2,9,11
2,3,The Annexation  of Puerto Rico,12,1,3,0,25.0,359.96,483.8,1,1,1,3,12
